ProductID,Product Name,Product Category,Product Subcategory,Product Line,Product Class,Product Style
711,"Sport-100 Helmet, Blue",Accessories,Helmets,Standard,Other,Unisex
876,Hitch Rack - 4-Bike,Accessories,Bike Racks,Standard,Other,Unisex
877,Bike Wash - Dissolver,Accessories,Cleaners,Standard,Other,Unisex
878,Fender Set - Mountain,Accessories,Fenders,Mountain,Other,Unisex
879,All-Purpose Bike Stand,Accessories,Bike Stands,Mountain,Other,Unisex
880,Hydration Pack - 70 oz.,Accessories,Hydration Packs,Standard,Other,Unisex
842,"Touring-Panniers, Large",Accessories,Panniers,Touring,Other,Unisex
843,Cable Lock,Accessories,Locks,Standard,Other,Unisex
844,Minipump,Accessories,Pumps,Standard,Other,Unisex
845,Mountain Pump,Accessories,Pumps,Mountain,Other,Unisex
846,Taillights - Battery-Powered,Accessories,Lights,Road,Other,Unisex
847,Headlights - Dual-Beam,Accessories,Lights,Road,Other,Unisex
848,Headlights - Weatherproof,Accessories,Lights,Road,Other,Unisex
928,LL Mountain Tire,Accessories,Tires and Tubes,Mountain,Low-end,Unisex
929,ML Mountain Tire,Accessories,Tires and Tubes,Mountain,Mid-range,Unisex
930,HL Mountain Tire,Accessories,Tires and Tubes,Mountain,High-end,Unisex
931,LL Road Tire,Accessories,Tires and Tubes,Road,Low-end,Unisex
932,ML Road Tire,Accessories,Tires and Tubes,Road,Mid-range,Unisex
933,HL Road Tire,Accessories,Tires and Tubes,Road,High-end,Unisex
934,Touring Tire,Accessories,Tires and Tubes,Touring,Other,Unisex
707,"Sport-100 Helmet, Red",Accessories,Helmets,Standard,Other,Unisex
708,"Sport-100 Helmet, Black",Accessories,Helmets,Standard,Other,Unisex
870,Water Bottle - 30 oz.,Accessories,Bottles and Cages,Standard,Other,Unisex
871,Mountain Bottle Cage,Accessories,Bottles and Cages,Mountain,Other,Unisex
872,Road Bottle Cage,Accessories,Bottles and Cages,Road,Other,Unisex
873,Patch Kit/8 Patches,Accessories,Tires and Tubes,Standard,Other,Unisex
921,Mountain Tire Tube,Accessories,Tires and Tubes,Mountain,Other,Unisex
922,Road Tire Tube,Accessories,Tires and Tubes,Road,Other,Unisex
923,Touring Tire Tube,Accessories,Tires and Tubes,Touring,Other,Unisex
997,"Road-750 Black, 44",Bikes,Road Bikes,Road,Low-end,Unisex
998,"Road-750 Black, 48",Bikes,Road Bikes,Road,Low-end,Unisex
999,"Road-750 Black, 52",Bikes,Road Bikes,Road,Low-end,Unisex
953,"Touring-2000 Blue, 60",Bikes,Touring Bikes,Touring,Mid-range,Unisex
954,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,Touring,High-end,Unisex
955,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,Touring,High-end,Unisex
956,"Touring-1000 Yellow, 54",Bikes,Touring Bikes,Touring,High-end,Unisex
957,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,Touring,High-end,Unisex
958,"Touring-3000 Blue, 54",Bikes,Touring Bikes,Touring,Low-end,Unisex
959,"Touring-3000 Blue, 58",Bikes,Touring Bikes,Touring,Low-end,Unisex
960,"Touring-3000 Blue, 62",Bikes,Touring Bikes,Touring,Low-end,Unisex
961,"Touring-3000 Yellow, 44",Bikes,Touring Bikes,Touring,Low-end,Unisex
962,"Touring-3000 Yellow, 50",Bikes,Touring Bikes,Touring,Low-end,Unisex
963,"Touring-3000 Yellow, 54",Bikes,Touring Bikes,Touring,Low-end,Unisex
964,"Touring-3000 Yellow, 58",Bikes,Touring Bikes,Touring,Low-end,Unisex
965,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,Touring,Low-end,Unisex
966,"Touring-1000 Blue, 46",Bikes,Touring Bikes,Touring,High-end,Unisex
967,"Touring-1000 Blue, 50",Bikes,Touring Bikes,Touring,High-end,Unisex
968,"Touring-1000 Blue, 54",Bikes,Touring Bikes,Touring,High-end,Unisex
969,"Touring-1000 Blue, 60",Bikes,Touring Bikes,Touring,High-end,Unisex
970,"Touring-2000 Blue, 46",Bikes,Touring Bikes,Touring,Mid-range,Unisex
971,"Touring-2000 Blue, 50",Bikes,Touring Bikes,Touring,Mid-range,Unisex
972,"Touring-2000 Blue, 54",Bikes,Touring Bikes,Touring,Mid-range,Unisex
973,"Road-350-W Yellow, 40",Bikes,Road Bikes,Road,Mid-range,Women
974,"Road-350-W Yellow, 42",Bikes,Road Bikes,Road,Mid-range,Women
975,"Road-350-W Yellow, 44",Bikes,Road Bikes,Road,Mid-range,Women
976,"Road-350-W Yellow, 48",Bikes,Road Bikes,Road,Mid-range,Women
977,"Road-750 Black, 58",Bikes,Road Bikes,Road,Low-end,Unisex
978,"Touring-3000 Blue, 44",Bikes,Touring Bikes,Touring,Low-end,Unisex
979,"Touring-3000 Blue, 50",Bikes,Touring Bikes,Touring,Low-end,Unisex
980,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes,Mountain,Mid-range,Women
981,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Mountain,Mid-range,Women
982,"Mountain-400-W Silver, 42",Bikes,Mountain Bikes,Mountain,Mid-range,Women
983,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes,Mountain,Mid-range,Women
984,"Mountain-500 Silver, 40",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
985,"Mountain-500 Silver, 42",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
986,"Mountain-500 Silver, 44",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
987,"Mountain-500 Silver, 48",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
988,"Mountain-500 Silver, 52",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
989,"Mountain-500 Black, 40",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
990,"Mountain-500 Black, 42",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
991,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Mountain,Low-end,Unisex
